date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:14	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	https://www.w3schools.com/robots.txt		(from )
11:24:15	48544/48544	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2006:46:16%20GMT	https://www.w3schools.com/sql/	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/index.html	(from )
11:24:16	23293/23293	---M-Z	200	added ('OK')	text/css	etag:%220925540a2a1d31:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/Letoltott%20weblapok/c3/www.w3schools.com/w3css/4/w3.css	(from https://www.w3schools.com/sql/)
11:24:17	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	C:/Letoltott%20weblapok/c3/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/sql/)
11:24:18	14173/14173	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Mar%202018%2010:24:15%20GMT	https://www.googletagservices.com/tag/js/gpt.js	C:/Letoltott%20weblapok/c3/www.googletagservices.com/tag/js/gpt.js	(from https://www.w3schools.com/sql/)
11:24:19	48544/48544	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2004:10:45%20GMT	https://www.w3schools.com/sql/default.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/default.html	(from https://www.w3schools.com/sql/)
11:24:19	51938/51938	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2006:22:01%20GMT	https://www.w3schools.com/sql/sql_quickref.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_quickref.html	(from https://www.w3schools.com/sql/)
11:24:20	49026/49026	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2007:29:22%20GMT	https://www.w3schools.com/sql/sql_intro.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_intro.html	(from https://www.w3schools.com/sql/)
11:24:21	49930/49930	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2006:04:20%20GMT	https://www.w3schools.com/sql/sql_syntax.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_syntax.html	(from https://www.w3schools.com/sql/)
11:24:21	48883/48883	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2003:23:33%20GMT	https://www.w3schools.com/sql/sql_select.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_select.html	(from https://www.w3schools.com/sql/)
11:24:22	50282/50282	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2003:21:13%20GMT	https://www.w3schools.com/sql/sql_distinct.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_distinct.html	(from https://www.w3schools.com/sql/)
11:24:23	50158/50158	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2003:44:57%20GMT	https://www.w3schools.com/sql/sql_where.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_where.html	(from https://www.w3schools.com/sql/)
11:24:23	51344/51344	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2007:48:00%20GMT	https://www.w3schools.com/sql/sql_and_or.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_and_or.html	(from https://www.w3schools.com/sql/)
11:24:24	50113/50113	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2006:21:05%20GMT	https://www.w3schools.com/sql/sql_orderby.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_orderby.html	(from https://www.w3schools.com/sql/)
11:24:25	51944/51944	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2007:41:14%20GMT	https://www.w3schools.com/sql/sql_insert.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_insert.html	(from https://www.w3schools.com/sql/)
11:24:25	49947/49947	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2007:39:35%20GMT	https://www.w3schools.com/sql/sql_null_values.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_null_values.html	(from https://www.w3schools.com/sql/)
11:24:26	53867/53867	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2006:24:49%20GMT	https://www.w3schools.com/sql/sql_update.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_update.html	(from https://www.w3schools.com/sql/)
11:24:26	50298/50298	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2006:40:54%20GMT	https://www.w3schools.com/sql/sql_delete.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_delete.html	(from https://www.w3schools.com/sql/)
11:24:27	51490/51490	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2005:09:20%20GMT	https://www.w3schools.com/sql/sql_top.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_top.html	(from https://www.w3schools.com/sql/)
11:24:28	48430/48430	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2004:56:48%20GMT	https://www.w3schools.com/sql/sql_min_max.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_min_max.html	(from https://www.w3schools.com/sql/)
11:24:28	50183/50183	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2004:54:34%20GMT	https://www.w3schools.com/sql/sql_count_avg_sum.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_count_avg_sum.html	(from https://www.w3schools.com/sql/)
11:24:29	52579/52579	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2008:23:08%20GMT	https://www.w3schools.com/sql/sql_like.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_like.html	(from https://www.w3schools.com/sql/)
11:24:29	53135/53135	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2009:21:13%20GMT	https://www.w3schools.com/sql/sql_wildcards.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_wildcards.html	(from https://www.w3schools.com/sql/)
11:24:30	49616/49616	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2007:48:17%20GMT	https://www.w3schools.com/sql/sql_in.asp	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/sql_in.html	(from https://www.w3schools.com/sql/)
